Pan,Tilt,Inches
40,50,15
45,50,14
50,50,12
55,50,11
60,50,10
65,50,9
70,50,9
75,50,9
80,50,8
85,50,8
90,50,8
95,50,8
100,50,8
105,50,8
110,50,8
115,50,8
120,50,9
125,50,9
130,50,10
130,60,9
125,60,8
120,60,8
115,60,5
110,60,5
105,60,5
100,60,5
95,60,5
90,60,5
85,60,5
80,60,5
75,60,5
70,60,8
65,60,8
60,60,9
55,60,10
50,60,10
45,60,12
40,60,14
40,70,13
45,70,12
50,70,10
55,70,9
60,70,9
65,70,8
70,70,5
75,70,5
80,70,5
85,70,5
90,70,5
95,70,5
100,70,5
105,70,5
110,70,5
115,70,5
120,70,5
125,70,7
130,70,9
130,80,9
125,80,6
120,80,5
115,80,5
110,80,5
105,80,5
100,80,5
95,80,5
90,80,5
85,80,5
80,80,5
75,80,5
70,80,5
65,80,6
60,80,8
55,80,9
50,80,10
45,80,11
40,80,13
40,90,13
45,90,12
50,90,10
55,90,9
60,90,9
65,90,6
70,90,5
75,90,5
80,90,5
85,90,5
90,90,5
95,90,7
100,90,7
105,90,7
110,90,7
115,90,5
120,90,5
125,90,5
130,90,9
130,100,9
125,100,9
120,100,8
115,100,8
110,100,8
105,100,8
100,100,7
95,100,7
90,100,5
85,100,5
80,100,5
75,100,5
70,100,5
65,100,5
60,100,9
55,100,10
50,100,11
45,100,12
40,100,14
40,110,15
45,110,13
50,110,12
55,110,11
60,110,10
65,110,6
70,110,5
75,110,5
80,110,5
85,110,5
90,110,5
95,110,8
100,110,8
105,110,8
110,110,8
115,110,9
120,110,9
125,110,10
130,110,10
130,120,12
125,120,11
120,120,10
115,120,10
110,120,8
105,120,7
100,120,7
95,120,7
90,120,6
85,120,5
80,120,6
75,120,6
70,120,6
65,120,6
60,120,6
55,120,6
50,120,11
45,120,15
40,120,17
40,130,20
45,130,18
50,130,16
55,130,12
60,130,8
65,130,7
70,130,7
75,130,6
80,130,6
85,130,6
90,130,6
95,130,6
100,130,6
105,130,6
110,130,7
115,130,12
120,130,13
125,130,13
130,130,14
